[17:57:54] === overnight sweep start: 17 benches, iter_cap=500000, time_cap=35.0min, deadline=11.5h ===
[17:57:55] ibm01: fresh start from legalized reference
[18:27:51] ibm03: 320000 iters, fast=0.9959 tilos=0.9960 ov=0 (406s)
[18:28:16] ibm03: 340000 iters, fast=0.9955 tilos=0.9955 ov=0 (431s)
[18:28:42] ibm03: 360000 iters, fast=0.9952 tilos=0.9953 ov=0 (456s)
[18:29:07] ibm03: 380000 iters, fast=0.9949 tilos=0.9950 ov=0 (481s)
[18:29:32] ibm03: 400000 iters, fast=0.9944 tilos=0.9945 ov=0 (507s)
[18:29:58] ibm03: 420000 iters, fast=0.9941 tilos=0.9941 ov=0 (532s)
[18:30:23] ibm03: 440000 iters, fast=0.9938 tilos=0.9938 ov=0 (558s)
[18:30:49] ibm03: 460000 iters, fast=0.9936 tilos=0.9937 ov=0 (583s)
[18:31:14] ibm03: 480000 iters, fast=0.9934 tilos=0.9935 ov=0 (608s)
[18:31:39] ibm03: 500000 iters, fast=0.9932 tilos=0.9932 ov=0 (634s)
[18:31:39] ibm03: DONE (500000 iters, 634s)
[18:31:40] ibm04: fresh start from legalized reference
[18:32:07] ibm04: 20000 iters, fast=1.0469 tilos=1.0469 ov=0 (24s)
[18:32:34] ibm04: 40000 iters, fast=1.0256 tilos=1.0256 ov=0 (50s)
[18:33:00] ibm04: 60000 iters, fast=1.0137 tilos=1.0137 ov=0 (77s)
[18:33:26] ibm04: 80000 iters, fast=1.0057 tilos=1.0057 ov=0 (103s)
[18:33:52] ibm04: 100000 iters, fast=1.0028 tilos=1.0028 ov=0 (129s)
[18:34:18] ibm04: 120000 iters, fast=0.9996 tilos=0.9996 ov=0 (155s)
[18:34:45] ibm04: 140000 iters, fast=0.9961 tilos=0.9961 ov=0 (182s)
[18:35:11] ibm04: 160000 iters, fast=0.9944 tilos=0.9944 ov=0 (208s)
[18:35:37] ibm04: 180000 iters, fast=0.9937 tilos=0.9937 ov=0 (234s)
[18:36:04] ibm04: 200000 iters, fast=0.9930 tilos=0.9930 ov=0 (261s)
[18:36:30] ibm04: 220000 iters, fast=0.9925 tilos=0.9925 ov=0 (287s)
[18:36:56] ibm04: 240000 iters, fast=0.9917 tilos=0.9917 ov=0 (313s)
[18:37:22] ibm04: 260000 iters, fast=0.9912 tilos=0.9912 ov=0 (339s)
[18:37:49] ibm04: 280000 iters, fast=0.9906 tilos=0.9906 ov=0 (365s)
[18:38:15] ibm04: 300000 iters, fast=0.9901 tilos=0.9901 ov=0 (392s)
[18:38:41] ibm04: 320000 iters, fast=0.9898 tilos=0.9898 ov=0 (418s)
[18:39:07] ibm04: 340000 iters, fast=0.9894 tilos=0.9894 ov=0 (444s)
[18:39:34] ibm04: 360000 iters, fast=0.9892 tilos=0.9892 ov=0 (471s)
[18:40:00] ibm04: 380000 iters, fast=0.9888 tilos=0.9888 ov=0 (497s)
[18:40:26] ibm04: 400000 iters, fast=0.9884 tilos=0.9884 ov=0 (523s)
[18:40:52] ibm04: 420000 iters, fast=0.9879 tilos=0.9879 ov=0 (549s)
[18:41:19] ibm04: 440000 iters, fast=0.9878 tilos=0.9878 ov=0 (576s)
[18:41:45] ibm04: 460000 iters, fast=0.9875 tilos=0.9875 ov=0 (602s)
[18:42:11] ibm04: 480000 iters, fast=0.9873 tilos=0.9873 ov=0 (628s)
[18:42:37] ibm04: 500000 iters, fast=0.9872 tilos=0.9872 ov=0 (655s)
[18:42:37] ibm04: DONE (500000 iters, 655s)
